epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.6668,1.4635,2.91565,2.33748,1.42614,0,1,0.02175,0.16794,0.07341,1,0.02175,0.16727,0.06982,1.61766,3.32297,3.06361,1.65617,0,0.000651852,0.000651852,0.000651852
2,39.1064,1.48276,2.45868,1.80006,1.41618,0,0.13594,0.07463,0.04452,0.01244,0.0571,0.06965,0.022,0.00667,1.99017,6.56279,3.22539,2.33775,0,0.00129241,0.00129241,0.00129241
3,55.8984,1.50287,2.46007,1.73695,1.4522,0,0.52174,0.38806,0.41087,0.19949,0.53235,0.41294,0.41295,0.19586,1.8241,4.58229,2.24119,1.85161,0,0.00190657,0.00190657,0.00190657
4,72.5516,1.49201,2.40317,1.60806,1.42111,0,0.42451,0.41294,0.3697,0.17347,0.4494,0.41791,0.39382,0.17749,1.85191,4.26571,2.15399,1.83809,0,0.0018812,0.0018812,0.0018812
5,88.8664,1.46388,2.40045,1.55859,1.42678,0,0.45129,0.57214,0.47815,0.24305,0.47241,0.58706,0.47987,0.22344,1.79329,3.76303,1.76222,1.6753,0,0.0018416,0.0018416,0.0018416
6,104.802,1.42386,2.3244,1.43045,1.38241,0,0.59975,0.46269,0.49885,0.25352,0.57825,0.43781,0.43608,0.22186,1.69811,3.95503,1.81438,1.65401,0,0.001802,0.001802,0.001802
7,121.322,1.39694,2.28603,1.40424,1.38273,0,0.5169,0.61692,0.53803,0.27168,0.51552,0.60697,0.53397,0.27105,1.67573,2.88362,1.65943,1.57868,0,0.0017624,0.0017624,0.0017624
8,137.724,1.35718,2.20582,1.33717,1.33607,0,0.59298,0.56219,0.56599,0.29998,0.60554,0.57711,0.58202,0.29187,1.60182,3.02143,1.54966,1.54454,0,0.0017228,0.0017228,0.0017228
9,153.998,1.3711,2.2081,1.33288,1.37224,0,0.69001,0.57711,0.63418,0.33411,0.68951,0.58556,0.63483,0.33117,1.54678,2.82235,1.45302,1.52774,0,0.0016832,0.0016832,0.0016832
10,170.435,1.3425,2.17653,1.23443,1.31499,0,0.60501,0.54726,0.58199,0.30391,0.61777,0.54229,0.57495,0.30183,1.58652,2.62133,1.6973,1.56494,0,0.0016436,0.0016436,0.0016436
11,186.69,1.32348,2.13086,1.23352,1.32246,0,0.6076,0.59204,0.61113,0.32685,0.6043,0.59204,0.62108,0.29467,1.57671,2.6757,1.46213,1.48301,0,0.001604,0.001604,0.001604
12,202.926,1.29579,2.13386,1.19233,1.2994,0,0.60726,0.63682,0.60307,0.32463,0.63905,0.61194,0.61737,0.30532,1.54385,2.67037,1.44236,1.48945,0,0.0015644,0.0015644,0.0015644
13,219.128,1.3064,2.11107,1.17812,1.29958,0,0.64354,0.55721,0.60653,0.33023,0.6865,0.54229,0.60897,0.30627,1.61607,2.9617,1.55241,1.54641,0,0.0015248,0.0015248,0.0015248
14,235.205,1.28575,2.04105,1.14231,1.28914,0,0.60825,0.63184,0.62114,0.32765,0.59443,0.62687,0.61235,0.31039,1.57399,2.85027,1.47537,1.519,0,0.0014852,0.0014852,0.0014852
15,251.787,1.29341,2.07876,1.13752,1.29154,0,0.61595,0.68657,0.62803,0.3447,0.64531,0.68657,0.65756,0.33058,1.60865,2.91715,1.34234,1.5311,0,0.0014456,0.0014456,0.0014456
16,268.591,1.25613,1.97536,1.08467,1.25404,0,0.67384,0.55504,0.62198,0.35487,0.60896,0.62687,0.6316,0.3333,1.5727,2.6747,1.40697,1.50071,0,0.001406,0.001406,0.001406
17,284.455,1.21416,1.93623,1.08992,1.25303,0,0.71652,0.66647,0.67924,0.37356,0.71652,0.66647,0.67024,0.36286,1.48961,2.53043,1.25403,1.44933,0,0.0013664,0.0013664,0.0013664
18,300.53,1.21895,1.94911,1.05171,1.22993,0,0.63085,0.65174,0.66108,0.38519,0.63085,0.65174,0.65292,0.34922,1.47305,2.70406,1.36695,1.42647,0,0.0013268,0.0013268,0.0013268
19,316.519,1.20282,1.91199,1.03235,1.23138,0,0.67922,0.57214,0.6081,0.34593,0.69104,0.58209,0.63158,0.34173,1.52657,2.64302,1.39653,1.47367,0,0.0012872,0.0012872,0.0012872
20,332.495,1.18153,1.877,0.99651,1.22068,0,0.69095,0.61194,0.62207,0.35382,0.72075,0.64179,0.64993,0.33399,1.55344,2.83236,1.401,1.50023,0,0.0012476,0.0012476,0.0012476
21,348.213,1.17867,1.88233,0.95994,1.22024,0,0.652,0.64316,0.65961,0.3647,0.66537,0.6628,0.68073,0.34938,1.48913,2.70113,1.3587,1.43586,0,0.001208,0.001208,0.001208
22,364.342,1.15406,1.82482,0.94966,1.19807,0,0.57941,0.63741,0.60646,0.3427,0.5905,0.64567,0.63433,0.32954,1.49914,2.59738,1.42296,1.45127,0,0.0011684,0.0011684,0.0011684
23,380.583,1.14593,1.84142,0.92511,1.18319,0,0.64541,0.67013,0.68718,0.39615,0.65478,0.67942,0.69446,0.37809,1.4914,2.66488,1.31855,1.43012,0,0.0011288,0.0011288,0.0011288
24,396.677,1.1352,1.80314,0.90444,1.19543,0,0.62672,0.70647,0.65427,0.3786,0.65246,0.72637,0.6779,0.36456,1.53537,2.73209,1.27465,1.48998,0,0.0010892,0.0010892,0.0010892
25,412.582,1.12406,1.82271,0.90149,1.18064,0,0.76613,0.60199,0.65917,0.35822,0.75749,0.59701,0.64424,0.3331,1.5918,2.81885,1.33449,1.49127,0,0.0010496,0.0010496,0.0010496
26,429.005,1.098,1.80068,0.89595,1.16487,0,0.68314,0.57923,0.64241,0.3602,0.68314,0.57923,0.63664,0.34489,1.56508,2.55023,1.48254,1.48383,0,0.00101,0.00101,0.00101
27,445.101,1.10115,1.72197,0.85304,1.16411,0,0.60838,0.70332,0.68482,0.36982,0.66248,0.63473,0.68642,0.3667,1.51876,2.57661,1.27811,1.44788,0,0.0009704,0.0009704,0.0009704
28,461.182,1.09496,1.74386,0.83641,1.15247,0,0.7105,0.5861,0.66174,0.37124,0.75476,0.59715,0.6793,0.36836,1.48578,2.68289,1.32108,1.42097,0,0.0009308,0.0009308,0.0009308
29,477.311,1.07745,1.71414,0.83128,1.1419,0,0.67347,0.60199,0.64883,0.36758,0.73818,0.58209,0.65576,0.36651,1.56044,2.78826,1.33744,1.47673,0,0.0008912,0.0008912,0.0008912
30,493.475,1.06516,1.71169,0.819,1.13385,0,0.70719,0.63682,0.67681,0.40224,0.71607,0.66667,0.69282,0.3831,1.50842,2.80278,1.25298,1.44227,0,0.0008516,0.0008516,0.0008516
